Date,BMY,HSIC,HRB,GE,INCY
2018/2/26,64.04834747,53.090194700000005,24.45717239,13.73202419,87.52999878
2018/2/27,63.31110001,52.71372604,23.60158539,13.59142494,86.56999969
2018/2/28,61.78057861,51.91372681,23.05545998,13.2258625,85.16000366
2018/3/1,61.30461121,49.75686264,22.87341881,13.14150143,83.08999634
2018/3/2,61.75257111,51.1294136,22.47293282,13.23523617,86.61000061
2018/3/5,62.35918427,51.79607773,23.48325539,13.51643848,90.97000122
2018/3/6,61.09930038,51.78823471,23.45595169,13.72265244,91.08999634
2018/3/7,61.68724823,52.650981900000005,26.1501503,13.60079861,91.69999695
2018/3/8,62.29384613,52.650981900000005,25.18533707,13.61017132,92.41999817
2018/3/9,63.385746,53.67058945,25.20353889,14.00385571,94.23000336
2018/3/12,62.94711685,53.2156868,25.50653648,14.15382862,94.44999695
2018/3/13,62.22852325,53.36470413,24.96481895,13.5258112,94.62999725
2018/3/14,62.18186188,53.5686264,24.44146729,13.37583828,92.26000214
2018/3/15,61.82723236,53.32548904,24.52409935,13.4601984,88.69000244
2018/3/16,62.15387344,53.37254715,24.83627701,13.41333008,90.02999878
2018/3/19,61.65925217,53.20000076,23.95484161,13.1883688,86.26999664
2018/3/20,61.99522018,51.54509735,24.05583763,12.78531361,87.01000214
2018/3/21,61.68724823,51.50588226,23.72529984,13.01027489,88.79000092
2018/3/22,59.68077469,51.70980453,23.12849617,12.513484,85.25
2018/3/23,57.91695404,50.65882492,23.41312599,12.25102997,83.05999756
2018/3/26,59.16749954,51.40392303,23.67939377,12.08230782,86.37000275
2018/3/27,58.24358368,51.043136600000004,23.00913239,12.59784508,85.02999878
2018/3/28,58.39289856,51.97647095,23.09177017,12.82280731,84.95999908
2018/3/29,59.02750397,52.71372604,23.33049393,12.63533878,83.33000183
2018/4/2,57.86095428,51.63137436,22.55923271,12.29789829,80.55999756
2018/4/3,58.579551699999996,52.42353058,23.25704002,12.3072691,81.88999939
2018/4/4,58.77553177,53.73333359,23.56921387,12.44787121,83.98000336
2018/4/5,58.52194595,53.19215775,23.72529984,12.58847141,83.06999969
2018/4/6,57.17888641,52.37647247,23.42230797,12.2416563,64.01999664
2018/4/9,56.80320358,52.44705963,23.266222,12.02606773,65.36000061
2018/4/10,57.48881912,54.38431549,23.67021179,12.23228168,68.12000275
2018/4/11,56.52144623,54.172550199999996,23.77120781,12.15729618,66.29000092
2018/4/12,55.26290512,54.68235397,24.12011337,12.35413742,69.83000183
2018/4/13,55.084457400000005,54.10195923,23.918111800000002,12.6447134,70.12000275
2018/4/16,50.79227829,54.85490036,24.27619743,12.49473763,70.37000275
2018/4/17,49.19562531,55.70196152,24.29455948,12.92591381,70.51999664
2018/4/18,49.12048721,55.63137436,24.505737300000003,12.80405903,70.06999969
2018/4/19,48.47244644,54.70588303,24.17519951,13.11338234,69.05000305
2018/4/20,48.05918884,54.172550199999996,24.88218498,13.62891865,68.43000031
2018/4/23,47.80560303,57.874507900000005,24.909729000000002,13.61017132,68.13999939
2018/4/24,48.44425964,57.90588379,24.49655914,13.76014614,62.34999847
2018/4/25,48.613319399999995,58.42353058,25.81871033,13.16962242,62.99000168
2018/4/26,48.87630081,59.80392075,26.21351814,13.47894669,62.61000061
2018/4/27,49.09231567,60.23529434,25.91052818,13.47894669,62.95999908
2018/4/30,48.9608345,59.60784149,25.38717461,13.1883688,61.93999863
2018/5/1,49.48678207,60.29019547,25.43308258,13.16962242,60.84999847
2018/5/2,48.369133000000005,60.07058716,24.53328323,13.29147625,61.04999924
2018/5/3,48.32216263,58.83921432,24.35883331,13.05714035,62.38999939
2018/5/4,48.20946503,59.25490189,25.24026871,13.21648979,62.13000107
2018/5/7,48.20006943,59.81960678,25.40553856,13.1883688,62.86999893
2018/5/8,47.45808792,55.74901962,25.54326248,13.37583828,62.86999893
2018/5/9,47.98405457,56.14117813,25.14845276,13.70390606,64.34999847
2018/5/10,48.04040527,56.956863399999996,25.50653648,13.76951981,65.26999664
2018/5/11,48.70724106,57.20784378,25.5708046,13.68515873,66.44999695
2018/5/14,48.85752106,57.50588226,25.43308258,13.78826618,67.22000122
2018/5/15,49.12048721,56.82352829,25.52490044,13.78826618,67.23000336
2018/5/16,49.03596115,56.7843132,25.65344238,14.08821487,67.01999664
2018/5/17,49.53374481,56.69019699,25.46980858,14.08821487,66.63999939
2018/5/18,49.50556564,56.42353058,25.41471863,14.03197575,67.83000183
2018/5/21,49.06414032,56.04705811,25.60753441,14.303804399999999,66.79000092
2018/5/22,49.15805817,55.92156982,25.61671448,14.33192444,66.55999756
2018/5/23,49.30833054,55.388237,25.48817253,13.29147625,66.56999969
2018/5/24,49.48678207,55.30195999,25.76362038,13.68515873,66.66999817
2018/5/25,49.56192398,55.23921585,25.6442585,13.71327782,68.43000031
2018/5/29,49.09231567,54.90196228,25.65344238,13.29147625,67.05999756
2018/5/30,49.79672241,56.15686417,25.80034447,13.28210258,67.87000275
2018/5/31,49.42103958,54.27450943,25.20353889,13.19774437,68.26999664
2018/6/1,49.90003586,54.53333282,25.60753441,13.21648979,67.91000366
2018/6/4,48.32216263,55.090194700000005,25.91970634,12.85092831,68.04000092
2018/6/5,48.76359558,55.16078568,26.02070808,12.93528748,68.41000366
